cell_name	near%	mitotic%	farAvg	repli score	G1S.Score	G2M.Score
GasaE751112	0.6684312532735599	0.16720184467398497	0.48804280347601825	0.6969881330190507	0.09405340560820868	0.42579563886145855
GasaE751113	0.8601668353761258	0.09382886196687823	0.41127085854883505	0.6546416009115449	0.2715280523962438	0.35253422452504113
GasaE751114	0.6194755991395048	0.19691580109133688	0.3828947785065324	0.45797320101429434	0.46881575260319974	0.18169337884737957
GasaE751115	0.7978948102375606	0.13700140881364903	0.38043045986769974	0.6719775670033858	0.30870882087784834	0.3708752254434652
GasaE751116	0.8258710646751801	0.09677252851024332	0.3362878132056808	0.531414807215338	0.3890722795567933	0.5877268214287321
GasaE751117	0.593359413467224	0.248860414700743	0.3731218460912207	0.6594169241719285	0.4702369720634391	0.3572932430344651
GasaE751118	0.681068059909716	0.16002369835030206	0.4566739223027203	0.6876607586418753	0.3362150546538733	0.2801716118187607
GasaE751119	0.5415930275763632	0.25056243910255854	0.3590740925052456	0.4591693770164541	0.6622332293157752	0.11992184051660099
GasaE751120	0.7032413449775772	0.13409666629145145	0.4880031787610727	0.5946466545827054	0.31275303010436956	0.3183193522338993
GasaE751121	0.7077574204788009	0.1708235898181587	0.40303006154406285	0.7604877690978276	0.4933579611434932	0.27127561274173323
GasaE751122	0.775493874580039	0.1224478373475521	0.421240362300483	0.9479913622293398	0.4860106247541821	0.27865222972776643
GasaE751123	0.42971021881693416	0.4447883007753274	0.1671427650274467	0.4239231284077587	0.9287835774144184	0.3707886295704429
GasaE751124	0.6462606311801462	0.214297699723633	0.3572095128688054	0.5450080822445394	0.8248252972511908	0.2175091806333865
GasaE751125	0.8064999733877929	0.12391194293669305	0.3865534104165461	0.4976149273452539	0.34984038323990274	0.29451309547220217
GasaE751126	0.77853162288497	0.14963788806402145	0.3572460441875034	0.6934503695718347	0.4219093724134263	0.43493726170976776
GasaE751127	0.4500885579302396	0.22641207742228603	0.4840874350860116	0.49026981141028675	0.5588504247737511	0.2758564604753718
GasaE751128	0.7494443509555448	0.1474328537588812	0.4050095706549649	0.8197829495913216	0.3489831486658171	0.32145061254816526
GasaE751129	0.49843641175454834	0.2739138215669696	0.3165342146043565	0.5143514010634725	0.6575206440910112	0.2329099689173712
GasaE751130	0.8471894971726591	0.0885368715865334	0.40306803839078453	0.597923275419689	0.21025290156978965	0.5694803156016195
GasaE751131	0.7003804187155799	0.16710796308358805	0.43907623468479673	0.5251462218695758	0.28887181058331185	0.4579236312222131
GasaE751132	0.8827370857550001	0.05655895496264121	0.34912629552119245	0.579480324012396	0.25426232192428805	0.5106415636216437
GasaE751133	0.8540728193573388	0.08449666128703395	0.36902948495499543	0.7333596679629175	0.3026407786289448	0.5050916338090363
GasaE751134	0.7687088139940381	0.1664383970080791	0.2983262756880085	0.5262169454915436	0.46683320635499115	0.23978413069063226
GasaE751135	0.7103479023945884	0.18561336180213445	0.28452173502239253	0.7082781442704706	0.7325148669537324	0.3098790986434236
GasaE751136	0.7386379682703978	0.1521491062476542	0.3983720908977929	0.8701284794292903	0.37725546313463876	0.386863176210607
GasaE751137	0.8875442928937982	0.09157613104903134	0.33254701551720345	0.600678444378921	0.2627923196875792	0.44062142701239215
GasaE751138	0.6511164908890835	0.21340975231168297	0.3936796005316465	0.8173013363661196	0.17520561452387332	0.3885440164299009
GasaE751140	0.49312933031650796	0.31909617656582456	0.2379221151525621	0.4544020248602819	0.5302313809103256	0.11737173236850448
GasaE751141	0.816930405866256	0.12866185774932598	0.3474223159511586	0.5242608874511475	0.3117242544922882	0.36550502916671246
GasaE751142	0.6632234681360228	0.16867917184497444	0.45838428474253834	0.677317145397111	0.25848797529959555	0.4795535884604668
GasaE751143	0.8907215600150034	0.07656986320885012	0.28890506546114936	0.5661598628461992	0.2543781228814803	0.40064112216171066
GasaE751144	0.6708049388511592	0.18417747804400647	0.4685991804257943	0.6630869653315641	0.2087965037078987	0.5954063731449567
GasaE751145	0.7622051666728052	0.14906172988683059	0.379454947171752	0.5276501261213932	0.27348954399106296	0.2907080199062397
GasaE751146	0.4191907439735182	0.37000267773023754	0.22576838700150823	0.45970446812469995	0.6750151060657784	0.17929594631012385
GasaE751147	0.9426601704731559	0.04403016403355289	0.3493792764147051	0.5778059378879018	0.2840091874132646	0.2868280753650569
GasaE751148	0.4458996438140822	0.3065004859186752	0.278256244715274	0.45182994004775867	0.7288361539530237	0.1941454200200275
GasaE751149	0.8462575572928229	0.0699861656138547	0.3756841405045701	0.7976342576738978	0.09087123454618717	0.22207127823283251
